task_id,axis,condition,law,variant,panel,role,solver,mode,status,full_time_truth,uncertainty
v3__S1__linearized_gaussian__10__combined__center_EEG__O2_pointwise,,,linearized_gaussian,combined,,,O2_pointwise,center_EEG,completed,"{""r"": {""nrmse"": 0.9824764773280953, ""correlation"": 0.7251074776958263, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.9824764773280953, ""correlation"": 0.7251074776958263, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.156298446598467, ""correlation"": 0.9010308231782608, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.286412079002308, ""correlation"": 0.9129123294241344, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__center_EEG__O2_mean_only,,,linearized_gaussian,combined,,,O2_mean_only,center_EEG,completed,"{""r"": {""nrmse"": 0.7711713084540488, ""correlation"": 0.7871953089250902, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7711713084540488, ""correlation"": 0.7871953089250902, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.4565071035788809, ""correlation"": 0.9714342328087204, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.4742795051444054, ""correlation"": 0.9480770397512399, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__center_fNIRS__O0,,,linearized_gaussian,combined,,,O0,center_fNIRS,completed,"{""r"": {""nrmse"": 0.9706600449700198, ""correlation"": 0.7146391673089271, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.625, ""mean_interval_width"": 0.14368493023218767}, ""clean_EEG"": {""nrmse"": 0.9706600449700198, ""correlation"": 0.7146391673089271, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.625, ""mean_interval_width"": 0.14368493023218767}, ""clean_HbO"": {""nrmse"": 1.1447752936124942, ""correlation"": 0.8492066120693751, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.06666666666666667, ""mean_interval_width"": 0.020862431749309802}, ""clean_HbR"": {""nrmse"": 1.3046331315348412, ""correlation"": 0.8937185923657462, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.075, ""mean_interval_width"": 0.007955374573856833}}",conditional_approximation
v3__S1__linearized_gaussian__10__combined__center_fNIRS__O1,,,linearized_gaussian,combined,,,O1,center_fNIRS,completed,"{""r"": {""nrmse"": 0.5142994295159686, ""correlation"": 0.862361960178161, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.925, ""mean_interval_width"": 0.1570655653546585}, ""clean_EEG"": {""nrmse"": 0.5142994295159686, ""correlation"": 0.862361960178161, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.925, ""mean_interval_width"": 0.1570655653546585}, ""clean_HbO"": {""nrmse"": 0.17553300838925767, ""correlation"": 0.9887040035111287, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9916666666666667, ""mean_interval_width"": 0.061108227951124125}, ""clean_HbR"": {""nrmse"": 0.17209259743985908, ""correlation"": 0.991161975043872, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.020335624285999162}}",conditional_approximation
v3__S1__linearized_gaussian__10__combined__center_fNIRS__O2,,,linearized_gaussian,combined,,,O2,center_fNIRS,completed,"{""r"": {""nrmse"": 0.5391411781780613, ""correlation"": 0.8534016266146215, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.5391411781780613, ""correlation"": 0.8534016266146215, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.1700007935532221, ""correlation"": 0.9887734911591524, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.15678896994134503, ""correlation"": 0.9904300704077481, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__center_fNIRS__O2_pointwise,,,linearized_gaussian,combined,,,O2_pointwise,center_fNIRS,completed,"{""r"": {""nrmse"": 0.9658525235259449, ""correlation"": 0.7489003544697101, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.9658525235259449, ""correlation"": 0.7489003544697101, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.1455688400095527, ""correlation"": 0.9027179830390651, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.2717494008665478, ""correlation"": 0.9169080263259829, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__center_fNIRS__O2_mean_only,,,linearized_gaussian,combined,,,O2_mean_only,center_fNIRS,completed,"{""r"": {""nrmse"": 0.7747709106317601, ""correlation"": 0.7947665602956568, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7747709106317601, ""correlation"": 0.7947665602956568, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.47711728536057874, ""correlation"": 0.9715984630451049, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.4918835871555521, ""correlation"": 0.9475232233188956, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__whole_EEG__O0,,,linearized_gaussian,combined,,,O0,whole_EEG,completed,"{""r"": {""nrmse"": 0.9596106398418114, ""correlation"": 0.7084028949654418, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7083333333333334, ""mean_interval_width"": 0.1634895817540381}, ""clean_EEG"": {""nrmse"": 0.9596106398418114, ""correlation"": 0.7084028949654418, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7083333333333334, ""mean_interval_width"": 0.1634895817540381}, ""clean_HbO"": {""nrmse"": 1.1566221158875576, ""correlation"": 0.8386710027685382, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.06666666666666667, ""mean_interval_width"": 0.016358081903627097}, ""clean_HbR"": {""nrmse"": 1.3212044082689416, ""correlation"": 0.8887878584319944, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.06666666666666667, ""mean_interval_width"": 0.006937900669104112}}",conditional_approximation
v3__S1__linearized_gaussian__10__combined__whole_EEG__O1,,,linearized_gaussian,combined,,,O1,whole_EEG,completed,"{""r"": {""nrmse"": 0.5872642916606695, ""correlation"": 0.8151422086589629, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.18892807499499675}, ""clean_EEG"": {""nrmse"": 0.5872642916606695, ""correlation"": 0.8151422086589629, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.18892807499499675}, ""clean_HbO"": {""nrmse"": 0.1544911744245631, ""correlation"": 0.9928374368610131, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.06031914578196907}, ""clean_HbR"": {""nrmse"": 0.16771978330190956, ""correlation"": 0.9941693612688468, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.019949857775730447}}",conditional_approximation
v3__S1__linearized_gaussian__10__combined__whole_EEG__O2,,,linearized_gaussian,combined,,,O2,whole_EEG,completed,"{""r"": {""nrmse"": 0.6123593211847013, ""correlation"": 0.8045965408367378, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6123593211847013, ""correlation"": 0.8045965408367378, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.14756096435289837, ""correlation"": 0.9930595968861327, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.15136377258713382, ""correlation"": 0.9933612820786732, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__whole_EEG__O2_pointwise,,,linearized_gaussian,combined,,,O2_pointwise,whole_EEG,completed,"{""r"": {""nrmse"": 0.9669140180855375, ""correlation"": 0.7025049905451398, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.9669140180855375, ""correlation"": 0.7025049905451398, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.155121488813999, ""correlation"": 0.8983908073407388, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.2800835825817438, ""correlation"": 0.9221348511333629, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__whole_EEG__O2_mean_only,,,linearized_gaussian,combined,,,O2_mean_only,whole_EEG,completed,"{""r"": {""nrmse"": 1.334142638175116, ""correlation"": 0.35637665192623247, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.334142638175116, ""correlation"": 0.35637665192623247, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 2.140651143960271, ""correlation"": 0.14762113256102985, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.891252255389238, ""correlation"": 0.29488937496078577, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__whole_fNIRS__O0,,,linearized_gaussian,combined,,,O0,whole_fNIRS,completed,"{""r"": {""nrmse"": 1.762087547450809, ""correlation"": 0.7470247725997623, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.26666666666666666, ""mean_interval_width"": 0.17403108513575874}, ""clean_EEG"": {""nrmse"": 1.762087547450809, ""correlation"": 0.7470247725997623, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.26666666666666666, ""mean_interval_width"": 0.17403108513575874}, ""clean_HbO"": {""nrmse"": 2.5306123255116963, ""correlation"": 0.47418599027154873, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.10833333333333334, ""mean_interval_width"": 0.09881631200792894}, ""clean_HbR"": {""nrmse"": 2.5125652437587944, ""correlation"": 0.355622087056365, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.1, ""mean_interval_width"": 0.030068919000679265}}",conditional_approximation
v3__S1__linearized_gaussian__10__combined__whole_fNIRS__O1,,,linearized_gaussian,combined,,,O1,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.9458562847624767, ""correlation"": 0.7629015307815903, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8833333333333333, ""mean_interval_width"": 0.2158512067368319}, ""clean_EEG"": {""nrmse"": 0.9458562847624767, ""correlation"": 0.7629015307815903, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8833333333333333, ""mean_interval_width"": 0.2158512067368319}, ""clean_HbO"": {""nrmse"": 1.185109173478091, ""correlation"": 0.7863873797167982, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8166666666666667, ""mean_interval_width"": 0.195667806470529}, ""clean_HbR"": {""nrmse"": 1.204129530739575, ""correlation"": 0.780341513721587, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8, ""mean_interval_width"": 0.06444600671435076}}",conditional_approximation
v3__S1__linearized_gaussian__10__combined__whole_fNIRS__O2,,,linearized_gaussian,combined,,,O2,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.9458562850859771, ""correlation"": 0.7629015307763208, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.9458562850859771, ""correlation"": 0.7629015307763208, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.1381679192458067, ""correlation"": 0.7993885281740626, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.147535938496591, ""correlation"": 0.804895123895576, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__whole_fNIRS__O2_pointwise,,,linearized_gaussian,combined,,,O2_pointwise,whole_fNIRS,completed,"{""r"": {""nrmse"": 1.7945983172525588, ""correlation"": 0.7552379378067725, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.7945983172525588, ""correlation"": 0.7552379378067725, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 2.572056748758541, ""correlation"": 0.4746136347636304, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 2.5549795540749867, ""correlation"": 0.35141457940305376, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__10__combined__whole_fNIRS__O2_mean_only,,,linearized_gaussian,combined,,,O2_mean_only,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.958700381437481, ""correlation"": 0.7553437582007068, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.958700381437481, ""correlation"": 0.7553437582007068, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.1523343802450559, ""correlation"": 0.7900235790335882, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1587598363202454, ""correlation"": 0.7931652581315426, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__full__O0,,,linearized_gaussian,model,,,O0,full,completed,"{""r"": {""nrmse"": 0.4174325326684197, ""correlation"": 0.9156115520447586, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.14935602090978525}, ""clean_EEG"": {""nrmse"": 0.4174325326684197, ""correlation"": 0.9156115520447586, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.14935602090978525}, ""clean_HbO"": {""nrmse"": 0.09108622001569171, ""correlation"": 0.996050950380199, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.032036824554464646}, ""clean_HbR"": {""nrmse"": 0.12331288085602157, ""correlation"": 0.9955310378104724, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8583333333333333, ""mean_interval_width"": 0.010305224587407449}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__full__O1,,,linearized_gaussian,model,,,O1,full,completed,"{""r"": {""nrmse"": 0.37122829414658587, ""correlation"": 0.931647355747065, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.15151411771122592}, ""clean_EEG"": {""nrmse"": 0.37122829414658587, ""correlation"": 0.931647355747065, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.15151411771122592}, ""clean_HbO"": {""nrmse"": 0.09717055513456296, ""correlation"": 0.9956873603025271, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.03388829777846681}, ""clean_HbR"": {""nrmse"": 0.08965169512479167, ""correlation"": 0.996198000773924, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.011473951974458935}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__full__O2,,,linearized_gaussian,model,,,O2,full,completed,"{""r"": {""nrmse"": 0.4062287148863901, ""correlation"": 0.9207631865590465, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4062287148863901, ""correlation"": 0.9207631865590465, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09466257161263822, ""correlation"": 0.995953451865694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.13844547421912382, ""correlation"": 0.9942700923919832, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__full__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,full,completed,"{""r"": {""nrmse"": 0.4062287148863901, ""correlation"": 0.9207631865590465, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4062287148863901, ""correlation"": 0.9207631865590465, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09466257161263822, ""correlation"": 0.995953451865694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.13844547421912382, ""correlation"": 0.9942700923919832, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__full__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,full,completed,"{""r"": {""nrmse"": 0.4062287148863901, ""correlation"": 0.9207631865590465, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4062287148863901, ""correlation"": 0.9207631865590465, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09466257161263822, ""correlation"": 0.995953451865694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.13844547421912382, ""correlation"": 0.9942700923919832, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__center_EEG__O0,,,linearized_gaussian,model,,,O0,center_EEG,completed,"{""r"": {""nrmse"": 0.4144953125688342, ""correlation"": 0.9164479924863771, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15312712416139757}, ""clean_EEG"": {""nrmse"": 0.4144953125688342, ""correlation"": 0.9164479924863771, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15312712416139757}, ""clean_HbO"": {""nrmse"": 0.08975546781138863, ""correlation"": 0.9961570713455967, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.032401157714256675}, ""clean_HbR"": {""nrmse"": 0.1242922332380124, ""correlation"": 0.9954065526989195, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8666666666666667, ""mean_interval_width"": 0.010381033357365071}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__center_EEG__O1,,,linearized_gaussian,model,,,O1,center_EEG,completed,"{""r"": {""nrmse"": 0.37447664436306677, ""correlation"": 0.9304212857618988, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.15502285921424216}, ""clean_EEG"": {""nrmse"": 0.37447664436306677, ""correlation"": 0.9304212857618988, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.15502285921424216}, ""clean_HbO"": {""nrmse"": 0.09716483367941976, ""correlation"": 0.9956793035657104, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.034245442641314204}, ""clean_HbR"": {""nrmse"": 0.09105786330965587, ""correlation"": 0.9960858625689486, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.011546611496089655}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__center_EEG__O2,,,linearized_gaussian,model,,,O2,center_EEG,completed,"{""r"": {""nrmse"": 0.40848780362614867, ""correlation"": 0.9195499340572117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.40848780362614867, ""correlation"": 0.9195499340572117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09473302250000203, ""correlation"": 0.995946078652336, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.13962189637077957, ""correlation"": 0.9941313611838967, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__center_EEG__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,center_EEG,completed,"{""r"": {""nrmse"": 0.40848780362614867, ""correlation"": 0.9195499340572117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.40848780362614867, ""correlation"": 0.9195499340572117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09473302250000203, ""correlation"": 0.995946078652336, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.13962189637077957, ""correlation"": 0.9941313611838967, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__center_EEG__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,center_EEG,completed,"{""r"": {""nrmse"": 0.40848780362614867, ""correlation"": 0.9195499340572117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.40848780362614867, ""correlation"": 0.9195499340572117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09473302250000203, ""correlation"": 0.995946078652336, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.13962189637077957, ""correlation"": 0.9941313611838967, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__center_fNIRS__O0,,,linearized_gaussian,model,,,O0,center_fNIRS,completed,"{""r"": {""nrmse"": 0.4185108262528564, ""correlation"": 0.9162603333556778, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15119953824141957}, ""clean_EEG"": {""nrmse"": 0.4185108262528564, ""correlation"": 0.9162603333556778, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15119953824141957}, ""clean_HbO"": {""nrmse"": 0.08665497605290282, ""correlation"": 0.9962483144300247, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.0358760300112538}, ""clean_HbR"": {""nrmse"": 0.11462895049277685, ""correlation"": 0.9960051529899665, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9416666666666667, ""mean_interval_width"": 0.011304236083605586}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__center_fNIRS__O1,,,linearized_gaussian,model,,,O1,center_fNIRS,completed,"{""r"": {""nrmse"": 0.3657499132981942, ""correlation"": 0.9335664748134314, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.1533054323868413}, ""clean_EEG"": {""nrmse"": 0.3657499132981942, ""correlation"": 0.9335664748134314, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.1533054323868413}, ""clean_HbO"": {""nrmse"": 0.08790287071542036, ""correlation"": 0.9962230624075106, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.03825946437792062}, ""clean_HbR"": {""nrmse"": 0.080760930813118, ""correlation"": 0.9967473660457552, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.01278020770460907}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__center_fNIRS__O2,,,linearized_gaussian,model,,,O2,center_fNIRS,completed,"{""r"": {""nrmse"": 0.40444405525891114, ""correlation"": 0.9210761674416525, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.40444405525891114, ""correlation"": 0.9210761674416525, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09905919768743408, ""correlation"": 0.9955507393146158, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.15075327791187526, ""correlation"": 0.9930075660704589, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__center_fNIRS__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,center_fNIRS,completed,"{""r"": {""nrmse"": 0.40444405525891114, ""correlation"": 0.9210761674416525, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.40444405525891114, ""correlation"": 0.9210761674416525, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09905919768743408, ""correlation"": 0.9955507393146158, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.15075327791187526, ""correlation"": 0.9930075660704589, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__center_fNIRS__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,center_fNIRS,completed,"{""r"": {""nrmse"": 0.40444405525891114, ""correlation"": 0.9210761674416525, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.40444405525891114, ""correlation"": 0.9210761674416525, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.09905919768743408, ""correlation"": 0.9955507393146158, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.15075327791187526, ""correlation"": 0.9930075660704589, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__11__model__whole_EEG__O0,,,linearized_gaussian,model,,,O0,whole_EEG,completed,"{""r"": {""nrmse"": 0.613419320249158, ""correlation"": 0.8078280812864862, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.95, ""mean_interval_width"": 0.186236613192826}, ""clean_EEG"": {""nrmse"": 0.613419320249158, ""correlation"": 0.8078280812864862, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.95, ""mean_interval_width"": 0.186236613192826}, ""clean_HbO"": {""nrmse"": 0.11311610554514909, ""correlation"": 0.9936354460582164, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.95, ""mean_interval_width"": 0.03488713478285215}, ""clean_HbR"": {""nrmse"": 0.1179263881227067, ""correlation"": 0.9956342695426765, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8916666666666667, ""mean_interval_width"": 0.01081338850766578}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__whole_EEG__O1,,,linearized_gaussian,model,,,O1,whole_EEG,completed,"{""r"": {""nrmse"": 0.5758762622501362, ""correlation"": 0.820537493870709, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.18581509834959814}, ""clean_EEG"": {""nrmse"": 0.5758762622501362, ""correlation"": 0.820537493870709, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.18581509834959814}, ""clean_HbO"": {""nrmse"": 0.11380115297299219, ""correlation"": 0.993858067790962, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9666666666666667, ""mean_interval_width"": 0.03675967036830657}, ""clean_HbR"": {""nrmse"": 0.09300422797268598, ""correlation"": 0.9958623824947587, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.01198415879541335}}",conditional_approximation
v3__S1__linearized_gaussian__11__model__whole_EEG__O2,,,linearized_gaussian,model,,,O2,whole_EEG,completed,"{""r"": {""nrmse"": 0.6120996373254105, ""correlation"": 0.8096646615329144, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6120996373254105, ""correlation"": 0.8096646615329144, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.11302046476972352, ""correlation"": 0.9937299119179991, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.12800222499322608, ""correlation"": 0.994546331875745, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
