task_id,family,kind,layer,queue_position,planned_solves,timeout_seconds,payload
v3_native__subject_01,S2,v3_native,2,3601,0,900,"{""id"": ""v3_native__subject_01"", ""family"": ""S2"", ""layer"": 2, ""kind"": ""v3_native"", ""stage"": 2, ""dependencies"": [""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3601}"
v3_native__subject_09,S2,v3_native,2,3602,0,900,"{""id"": ""v3_native__subject_09"", ""family"": ""S2"", ""layer"": 2, ""kind"": ""v3_native"", ""stage"": 2, ""dependencies"": [""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3602}"
v3_native__subject_18,S2,v3_native,2,3603,0,900,"{""id"": ""v3_native__subject_18"", ""family"": ""S2"", ""layer"": 2, ""kind"": ""v3_native"", ""stage"": 2, ""dependencies"": [""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3603}"
v3_projection__subject_01__0__None,S2,v3_projection,3,3604,0,900,"{""id"": ""v3_projection__subject_01__0__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 0, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3604}"
v3_projection__subject_01__0__0,S2,v3_projection,3,3605,0,900,"{""id"": ""v3_projection__subject_01__0__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 0, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3605}"
v3_projection__subject_01__0__1,S2,v3_projection,3,3606,0,900,"{""id"": ""v3_projection__subject_01__0__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 0, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3606}"
v3_projection__subject_01__0__2,S2,v3_projection,3,3607,0,900,"{""id"": ""v3_projection__subject_01__0__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 0, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3607}"
v3_projection__subject_01__1__None,S2,v3_projection,3,3608,0,900,"{""id"": ""v3_projection__subject_01__1__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 1, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3608}"
v3_projection__subject_01__1__0,S2,v3_projection,3,3609,0,900,"{""id"": ""v3_projection__subject_01__1__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 1, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3609}"
v3_projection__subject_01__1__1,S2,v3_projection,3,3610,0,900,"{""id"": ""v3_projection__subject_01__1__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 1, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3610}"
v3_projection__subject_01__1__2,S2,v3_projection,3,3611,0,900,"{""id"": ""v3_projection__subject_01__1__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 1, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3611}"
v3_projection__subject_01__2__None,S2,v3_projection,3,3612,0,900,"{""id"": ""v3_projection__subject_01__2__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 2, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3612}"
v3_projection__subject_01__2__0,S2,v3_projection,3,3613,0,900,"{""id"": ""v3_projection__subject_01__2__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 2, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3613}"
v3_projection__subject_01__2__1,S2,v3_projection,3,3614,0,900,"{""id"": ""v3_projection__subject_01__2__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 2, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3614}"
v3_projection__subject_01__2__2,S2,v3_projection,3,3615,0,900,"{""id"": ""v3_projection__subject_01__2__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 2, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3615}"
v3_projection__subject_01__3__None,S2,v3_projection,3,3616,0,900,"{""id"": ""v3_projection__subject_01__3__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 3, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3616}"
v3_projection__subject_01__3__0,S2,v3_projection,3,3617,0,900,"{""id"": ""v3_projection__subject_01__3__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 3, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3617}"
v3_projection__subject_01__3__1,S2,v3_projection,3,3618,0,900,"{""id"": ""v3_projection__subject_01__3__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 3, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3618}"
v3_projection__subject_01__3__2,S2,v3_projection,3,3619,0,900,"{""id"": ""v3_projection__subject_01__3__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_01"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_01"", ""outer"": 3, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3619}"
v3_projection__subject_09__0__None,S2,v3_projection,3,3620,0,900,"{""id"": ""v3_projection__subject_09__0__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 0, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3620}"
v3_projection__subject_09__0__0,S2,v3_projection,3,3621,0,900,"{""id"": ""v3_projection__subject_09__0__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 0, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3621}"
v3_projection__subject_09__0__1,S2,v3_projection,3,3622,0,900,"{""id"": ""v3_projection__subject_09__0__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 0, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3622}"
v3_projection__subject_09__0__2,S2,v3_projection,3,3623,0,900,"{""id"": ""v3_projection__subject_09__0__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 0, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3623}"
v3_projection__subject_09__1__None,S2,v3_projection,3,3624,0,900,"{""id"": ""v3_projection__subject_09__1__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 1, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3624}"
v3_projection__subject_09__1__0,S2,v3_projection,3,3625,0,900,"{""id"": ""v3_projection__subject_09__1__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 1, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3625}"
v3_projection__subject_09__1__1,S2,v3_projection,3,3626,0,900,"{""id"": ""v3_projection__subject_09__1__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 1, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3626}"
v3_projection__subject_09__1__2,S2,v3_projection,3,3627,0,900,"{""id"": ""v3_projection__subject_09__1__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 1, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3627}"
v3_projection__subject_09__2__None,S2,v3_projection,3,3628,0,900,"{""id"": ""v3_projection__subject_09__2__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 2, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3628}"
v3_projection__subject_09__2__0,S2,v3_projection,3,3629,0,900,"{""id"": ""v3_projection__subject_09__2__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 2, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3629}"
v3_projection__subject_09__2__1,S2,v3_projection,3,3630,0,900,"{""id"": ""v3_projection__subject_09__2__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 2, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3630}"
v3_projection__subject_09__2__2,S2,v3_projection,3,3631,0,900,"{""id"": ""v3_projection__subject_09__2__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 2, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3631}"
v3_projection__subject_09__3__None,S2,v3_projection,3,3632,0,900,"{""id"": ""v3_projection__subject_09__3__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 3, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3632}"
v3_projection__subject_09__3__0,S2,v3_projection,3,3633,0,900,"{""id"": ""v3_projection__subject_09__3__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 3, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3633}"
v3_projection__subject_09__3__1,S2,v3_projection,3,3634,0,900,"{""id"": ""v3_projection__subject_09__3__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 3, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3634}"
v3_projection__subject_09__3__2,S2,v3_projection,3,3635,0,900,"{""id"": ""v3_projection__subject_09__3__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_09"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_09"", ""outer"": 3, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3635}"
v3_projection__subject_18__0__None,S2,v3_projection,3,3636,0,900,"{""id"": ""v3_projection__subject_18__0__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 0, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3636}"
v3_projection__subject_18__0__0,S2,v3_projection,3,3637,0,900,"{""id"": ""v3_projection__subject_18__0__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 0, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3637}"
v3_projection__subject_18__0__1,S2,v3_projection,3,3638,0,900,"{""id"": ""v3_projection__subject_18__0__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 0, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3638}"
v3_projection__subject_18__0__2,S2,v3_projection,3,3639,0,900,"{""id"": ""v3_projection__subject_18__0__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 0, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3639}"
v3_projection__subject_18__1__None,S2,v3_projection,3,3640,0,900,"{""id"": ""v3_projection__subject_18__1__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 1, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3640}"
v3_projection__subject_18__1__0,S2,v3_projection,3,3641,0,900,"{""id"": ""v3_projection__subject_18__1__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 1, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3641}"
v3_projection__subject_18__1__1,S2,v3_projection,3,3642,0,900,"{""id"": ""v3_projection__subject_18__1__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 1, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3642}"
v3_projection__subject_18__1__2,S2,v3_projection,3,3643,0,900,"{""id"": ""v3_projection__subject_18__1__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 1, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3643}"
v3_projection__subject_18__2__None,S2,v3_projection,3,3644,0,900,"{""id"": ""v3_projection__subject_18__2__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 2, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3644}"
v3_projection__subject_18__2__0,S2,v3_projection,3,3645,0,900,"{""id"": ""v3_projection__subject_18__2__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 2, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3645}"
v3_projection__subject_18__2__1,S2,v3_projection,3,3646,0,900,"{""id"": ""v3_projection__subject_18__2__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 2, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3646}"
v3_projection__subject_18__2__2,S2,v3_projection,3,3647,0,900,"{""id"": ""v3_projection__subject_18__2__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 2, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3647}"
v3_projection__subject_18__3__None,S2,v3_projection,3,3648,0,900,"{""id"": ""v3_projection__subject_18__3__None"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 3, ""inner"": null, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3648}"
v3_projection__subject_18__3__0,S2,v3_projection,3,3649,0,900,"{""id"": ""v3_projection__subject_18__3__0"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 3, ""inner"": 0, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3649}"
v3_projection__subject_18__3__1,S2,v3_projection,3,3650,0,900,"{""id"": ""v3_projection__subject_18__3__1"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 3, ""inner"": 1, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3650}"
v3_projection__subject_18__3__2,S2,v3_projection,3,3651,0,900,"{""id"": ""v3_projection__subject_18__3__2"", ""family"": ""S2"", ""layer"": 3, ""kind"": ""v3_projection"", ""stage"": 2, ""dependencies"": [""v3_native__subject_18"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 0, ""subject"": ""subject_18"", ""outer"": 3, ""inner"": 2, ""timeout_seconds"": 900, ""row_ids"": [], ""queue_position"": 3651}"
v3_S2__subject_01__0__0__O0,S2,v3_fits,4,3652,14,900,"{""id"": ""v3_S2__subject_01__0__0__O0"", ""family"": ""S2"", ""layer"": 4, ""kind"": ""v3_fits"", ""stage"": 2, ""dependencies"": [""v3_projection__subject_01__0__None"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 14, ""subject"": ""subject_01"", ""outer"": 0, ""solver"": ""O0"", ""candidate"": {""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}, ""role"": ""fixed"", ""trials"": [0], ""modes"": [""full"", ""EEG_only"", ""fNIRS_only"", ""all_missing"", ""center_EEG"", ""center_EEG_own"", ""center_EEG_template"", ""center_EEG_pairing"", ""center_EEG_shift"", ""center_fNIRS"", ""center_fNIRS_own"", ""center_fNIRS_template"", ""center_fNIRS_pairing"", ""center_fNIRS_shift""], ""timeout_seconds"": 900, ""row_ids"": [""0__full"", ""0__EEG_only"", ""0__fNIRS_only"", ""0__all_missing"", ""0__center_EEG"", ""0__center_EEG_own"", ""0__center_EEG_template"", ""0__center_EEG_pairing"", ""0__center_EEG_shift"", ""0__center_fNIRS"", ""0__center_fNIRS_own"", ""0__center_fNIRS_template"", ""0__center_fNIRS_pairing"", ""0__center_fNIRS_shift""], ""queue_position"": 3652}"
v3_S2__subject_01__0__4__O0,S2,v3_fits,4,3653,14,900,"{""id"": ""v3_S2__subject_01__0__4__O0"", ""family"": ""S2"", ""layer"": 4, ""kind"": ""v3_fits"", ""stage"": 2, ""dependencies"": [""v3_projection__subject_01__0__None"", ""v3_S1_gate""], ""prerequisites"": [""v3_S1_gate""], ""planned_solves"": 14, ""subject"": ""subject_01"", ""outer"": 0, ""solver"": ""O0"", ""candidate"": {""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}, ""role"": ""fixed"", ""trials"": [4], ""modes"": [""full"", ""EEG_only"", ""fNIRS_only"", ""all_missing"", ""center_EEG"", ""center_EEG_own"", ""center_EEG_template"", ""center_EEG_pairing"", ""center_EEG_shift"", ""center_fNIRS"", ""center_fNIRS_own"", ""center_fNIRS_template"", ""center_fNIRS_pairing"", ""center_fNIRS_shift""], ""timeout_seconds"": 900, ""row_ids"": [""4__full"", ""4__EEG_only"", ""4__fNIRS_only"", ""4__all_missing"", ""4__center_EEG"", ""4__center_EEG_own"", ""4__center_EEG_template"", ""4__center_EEG_pairing"", ""4__center_EEG_shift"", ""4__center_fNIRS"", ""4__center_fNIRS_own"", ""4__center_fNIRS_template"", ""4__center_fNIRS_pairing"", ""4__center_fNIRS_shift""], ""queue_position"": 3653}"
